DEBUG:root:.CONNECT
DEBUG:root:.FINISHED CONNECT
DEBUG:root:2010-09-15 19:49:54.500235 | A: 29.41
DEBUG:root:UNHANDLED EXCEPTION
DEBUG:root:'A'
DEBUG:root:.CONNECT
DEBUG:root:.FINISHED CONNECT
DEBUG:root:2010-09-17 08:47:10.590802 | A: 30.52
DEBUG:root:UNHANDLED EXCEPTION
DEBUG:root:'A'
DEBUG:root:.CONNECT
DEBUG:root:.FINISHED CONNECT
DEBUG:root:2010-09-19 02:22:19.558009 | GOOG: 490.10
DEBUG:root:2010-09-19 02:27:03.893658 | HEARTBEAT: 1284881223
DEBUG:root:2010-09-19 02:32:03.288901 | HEARTBEAT: 1284881523
DEBUG:root:2010-09-19 02:37:03.311830 | HEARTBEAT: 1284881823
DEBUG:root:2010-09-19 02:42:03.296958 | HEARTBEAT: 1284882123
DEBUG:root:2010-09-19 02:47:03.374666 | HEARTBEAT: 1284882423
DEBUG:root:2010-09-19 02:52:03.335911 | HEARTBEAT: 1284882723
DEBUG:root:2010-09-19 02:57:03.367980 | HEARTBEAT: 1284883023
DEBUG:root:2010-09-19 03:02:03.560354 | HEARTBEAT: 1284883323
DEBUG:root:2010-09-19 03:07:03.329849 | HEARTBEAT: 1284883623
DEBUG:root:2010-09-19 03:12:03.291089 | HEARTBEAT: 1284883923
DEBUG:root:2010-09-19 03:17:04.066741 | HEARTBEAT: 1284884224
DEBUG:root:2010-09-19 03:22:04.683767 | HEARTBEAT: 1284884524
DEBUG:root:2010-09-19 03:28:03.296097 | HEARTBEAT: 1284884883
DEBUG:root:2010-09-19 03:33:03.316046 | HEARTBEAT: 1284885183
DEBUG:root:2010-09-19 03:38:03.296479 | HEARTBEAT: 1284885483
DEBUG:root:2010-09-19 03:43:03.353389 | HEARTBEAT: 1284885783
DEBUG:root:2010-09-19 03:48:03.348879 | HEARTBEAT: 1284886083
DEBUG:root:2010-09-19 03:53:03.345694 | HEARTBEAT: 1284886383
DEBUG:root:2010-09-19 03:58:03.295638 | HEARTBEAT: 1284886683
DEBUG:root:2010-09-19 04:03:03.325638 | HEARTBEAT: 1284886983
DEBUG:root:2010-09-19 04:08:03.293370 | HEARTBEAT: 1284887283
DEBUG:root:2010-09-19 04:13:03.296817 | HEARTBEAT: 1284887583
DEBUG:root:2010-09-19 04:18:03.297724 | HEARTBEAT: 1284887883
